Timestamp,Build Up,Trend,Time,Vega,Theta,Gamma,Delta,IV Chg%,IV Chg,IV,OI Chg%,OI Chg,OI,Volume Chg %,Volume Chg,Volume,Int Val,Ext Val,OH/OL,LTP Chg %,LTP Chg,LTP,VWAP,Bid,Ask,Strike Price,PE-CE OI,PE-CE OI Chg,Bid,Ask,VWAP,LTP,LTP Chg,LTP Chg %,OH/OL,Int Val,Ext Val,Volume,Volume Chg,Volume Chg %,OI,OI Chg,OI Chg%,IV,IV Chg,IV Chg%,Delta,Gamma,Theta,Vega,PCR-OI,PCR-OI Chg,PCR-Vol,Time,Trend,Build Up
09:16,-,-,null,0.0000,0.0000,0.0000,0.0000,0.00,,0.00,-100.00,"-6,720",,-100,"-24,320",,981.15,-981.15,-,0,,0.00,,,,80400,76700,,165.90,166.85,166.85,167.85,25.85,18.2,-,-,167.85,"34,080","-15,62,240",-97.87,"76,700",,0.00,14.83,0.95,6.84,-0.2221,0.0002,-45.5512,26.1714,,null,-,06-Jun-2025 09:15:59,-,-
09:16,-,-,06-Jun-2025 09:15:59,27.6803,-48.1447,0.0002,0.7543,8.57,1.17,14.82,0.00,,"41,080",-99.04,"-1,56,540","1,520",881.15,191.45,-,-9.71,-115.40,"1,072.60",1068.98,1057.85,1064.35,80500,180540,,187.60,188.50,187.81,187.50,25.85,15.99,-,-,187.50,"98,660","-33,80,820",-97.16,"2,21,620",,0.00,14.67,0.83,6.00,-0.2436,0.0002,-47.4646,27.5553,5.39,null,64.91,06-Jun-2025 09:15:59,-,-
09:16,-,-,06-Jun-2025 09:15:59,28.6149,-47.5732,0.0003,0.7383,7.52,0.99,14.16,0.00,,"15,380",-98.67,"-1,06,560","1,440",781.15,198.90,-,-10.64,-116.75,980.05,1001.12,984.85,987.20,80600,58340,,212.10,212.75,212.27,211.25,32.90,18.45,-,-,211.25,"33,760","-18,19,360",-98.18,"73,720",,0.00,14.59,0.96,7.04,-0.2677,0.0003,-49.5817,28.9461,4.79,null,23.44,06-Jun-2025 09:15:59,-,-
09:16,-,-,06-Jun-2025 09:15:59,30.0635,-50.1426,0.0003,0.7106,5.18,0.70,14.21,0.00,,"34,520",-99.77,"-2,77,780",640,681.15,228.30,-,-11.83,-122.05,909.45,939.84,911.45,917.30,80700,81780,,237.90,238.90,239.26,239.25,39.05,19.51,-,-,239.25,"38,020","-20,14,500",-98.15,"1,16,300",,0.00,14.57,1.05,7.77,-0.2940,0.0003,-51.8035,30.2859,3.37,null,59.41,06-Jun-2025 09:15:59,-,-
09:16,-,-,06-Jun-2025 09:15:59,31.3641,-52.5085,0.0003,0.6818,5.55,0.75,14.26,0.00,,"45,960",-99.74,"-5,45,200","1,400",581.15,260.85,-,-12.2,-117.00,842.00,870.14,840.00,845.70,80800,85060,,270.80,271.45,267.57,271.65,50.65,22.92,-,-,271.65,"42,940","-25,38,040",-98.34,"1,31,020",,0.00,14.61,1.29,9.68,-0.3220,0.0003,-54.0439,31.5221,2.85,null,30.67,06-Jun-2025 09:15:59,-,-
09:16,-,-,06-Jun-2025 09:15:59,32.4286,-53.8006,0.0003,0.6539,5.92,0.79,14.13,0.00,,"38,100",-99.52,"-7,16,460","3,460",481.15,290.50,-,-12.64,-111.65,771.65,798.61,775.75,781.95,80900,107500,,300.05,301.60,299.79,302.50,65.15,27.45,-,-,302.50,"45,740","-28,49,680",-98.42,"1,45,600",,0.00,14.50,1.58,12.23,-0.3496,0.0003,-55.4161,32.5518,3.82,null,13.22,06-Jun-2025 09:15:59,-,-
09:16,-,-,06-Jun-2025 09:15:59,33.3667,-55.2117,0.0003,0.6240,5.86,0.78,14.10,0.00,,"3,93,400",-99.45,"-41,57,780","22,840",381.15,325.95,-,-13.24,-107.90,707.10,724.75,704.40,709.45,81000,158880,,335.95,337.40,333.86,336.40,50.40,17.62,-,-,336.40,"1,63,400","-81,66,760",-98.04,"5,52,280",,0.00,14.41,1.02,7.62,-0.3785,0.0003,-56.5523,33.4348,1.40,null,7.15,06-Jun-2025 09:15:59,-,-
09:16,-,-,06-Jun-2025 09:15:59,34.1413,-57.2109,0.0003,0.5918,6.57,0.88,14.28,0.00,,"38,120",-99.65,"-22,06,740","7,820",281.15,371.80,-,-13.35,-100.60,652.95,667.27,651.25,655.10,81100,59960,,373.30,374.70,372.82,374.80,59.80,18.98,-,-,374.80,"39,400","-36,42,000",-98.93,"98,080",,0.00,14.36,1.15,8.71,-0.4087,0.0003,-57.5806,34.1518,2.57,null,5.04,06-Jun-2025 09:15:59,-,-
09:16,-,-,06-Jun-2025 09:15:59,34.6652,-57.7439,0.0003,0.5608,7.09,0.94,14.19,0.00,,"64,280",-99.67,"-38,11,000","12,660",181.15,411.85,-,-13.6,-93.35,593.00,610.90,591.10,593.90,81200,60080,,414.05,415.45,413.63,415.55,60.60,17.07,-,-,415.55,"64,100","-44,00,180",-98.56,"1,24,360",,0.00,14.30,1.05,7.92,-0.4396,0.0003,-58.1873,34.6707,1.93,null,5.06,06-Jun-2025 09:15:59,-,-
09:16,-,-,06-Jun-2025 09:15:59,34.9790,-57.5723,0.0003,0.5293,6.70,0.88,14.02,0.00,,"1,03,300",-99,"-53,08,200","53,720",81.15,452.05,-,-14.54,-90.75,533.20,553.19,533.15,535.65,81300,54380,,463.80,464.45,459.68,464.40,71.60,18.23,-,-,464.40,"1,00,580","-54,97,520",-98.20,"1,57,680",,0.00,14.38,1.22,9.27,-0.4713,0.0003,-59.0279,34.9827,1.53,null,1.87,06-Jun-2025 09:15:59,-,-
